Engine Speed,Engine Torque,Power,ALPHA [%],Bsfc,Fuel_kg_h,Fuel_mg_st,Airmass_kg_h
3600,40.8,15.38,100.0,274.38,4.19,19.54,4.22
3600,40.0,15.08,86.9,274.84,4.17,19.19,4.16
3600,35.0,13.2,80.6,283.75,3.72,17.34,3.75
3600,30.0,11.31,68.3,296.44,3.38,15.53,3.36
3600,25.0,9.41,55.1,315.39,2.95,13.74,2.97
3600,20.0,7.54,49.3,341.02,2.55,11.9,2.57
3600,15.0,5.65,44.3,387.61,2.18,10.14,2.19
3600,10.0,12313.0,31.8,481.37,1.81,8.4,1.82
3600,5.0,1.88,27.8,786.65,1.45,6.84,1.48
3400,43.8,15.59,100.0,264.75,4.12,20.23,4.12
3400,40.0,14.24,86.8,270.29,3.83,18.87,3.84
3400,35.0,12.46,74.4,279.08,3.5,17.05,3.48
3400,30.0,10.68,58.9,290.97,3.1,15.24,3.11
3400,25.0,8.9,48.9,309.55,2.76,13.51,2.75
3400,20.0,7.11,43.8,334.58,2.34,11.67,2.38
3400,15.0,5.34,36.2,378.25,2.0,9.9,2.02
3400,10.0,3.56,30.0,473.76,1.7,8.28,1.68
3400,5.0,1.78,26.0,754.6,1.35,6.6,1.35
3200,44.8,15.0,100.0,258.69,3.87,20.21,3.88
3200,44.8,15.01,99.9,259.9,3.94,20.31,3.9
3200,40.0,13.41,80.2,264.98,3.54,18.51,3.56
3200,35.0,11.73,69.4,273.99,3.2,16.75,3.2
3200,30.0,10.05,57.3,285.21,2.85,14.94,2.87
3200,25.0,8.38,48.4,300.51,2.52,13.11,2.52
3200,20.0,6.7,42.9,323.65,2.18,11.3,2.17
3200,15.0,5.02,39.1,366.3,1.82,9.59,1.83
3200,10.0,3.35,30.6,456.34,1.53,7.97,1.52
3200,5.0,1.68,27.5,723.98,1.21,6.32,1.21
3000,46.3,14.54,100.0,252.68,3.65,20.41,3.67
3000,45.0,14.12,82.7,254.76,3.61,19.99,3.59
3000,40.0,12.57,72.9,258.15,3.26,18.02,3.25
3000,35.0,10.99,61.5,267.86,2.93,16.36,2.94
3000,30.0,9.42,53.1,278.55,2.62,14.58,2.62
3000,25.0,7.85,46.3,291.3,2.25,12.71,2.29
3000,20.0,6.29,41.1,316.34,1.98,11.06,1.97
3000,15.0,4.71,35.7,351.17,1.64,9.19,1.65
3000,10.0,3.14,27.3,432.34,1.31,7.55,1.36
3000,5.0,1.57,18.2,678.1,1.08,5.91,1.06
2800,49.6,14.54,100.0,249.04,3.58,21.56,3.62
2800,49.5,14.52,99.9,248.87,3.67,21.5,3.62
2800,45.0,13.18,70.9,252.43,3.34,19.81,3.33
2800,40.0,11.73,60.8,257.86,3.07,18.0,3.02
2800,35.0,10.27,54.5,262.83,2.71,16.06,2.71
2800,30.0,8.8,49.2,269.95,2.38,14.14,2.38
2800,25.0,7.33,44.1,282.93,2.08,12.35,2.07
2800,20.0,5.87,39.7,304.07,1.82,10.62,1.78
2800,15.0,4.4,32.8,342.77,1.48,8.98,1.5
2800,10.0,2.93,22.0,417.18,1.25,7.28,1.22
2800,5.0,1.47,16.2,651.61,0.96,5.71,0.96
2600,52.0,14.16,100.0,242.75,3.44,22.03,3.44
2600,50.0,13.61,81.7,244.98,3.28,21.37,3.33
2600,45.0,12.25,67.2,247.77,3.02,19.46,3.04
2600,40.0,10.89,56.4,255.44,2.79,17.83,2.78
2600,35.0,9.53,52.0,259.56,2.45,15.85,2.47
2600,30.0,8.17,45.6,265.62,2.19,13.91,2.17
2600,25.0,6.81,42.9,277.56,1.88,12.11,1.88
2600,20.0,5.45,33.3,294.72,1.58,10.3,1.61
2600,15.0,4.09,23.3,331.62,1.3,8.68,1.34
2600,10.0,2.72,18.9,402.51,1.12,7.01,1.09
2600,5.0,1.36,15.3,629.04,0.83,5.48,0.85
2400,53.6,13.48,100.0,239.88,3.17,22.45,3.23
2400,49.9,12.55,78.4,240.39,3.01,20.95,3.02
2400,45.0,11.3,63.2,246.85,2.81,19.37,2.79
2400,40.0,10.05,55.1,251.27,2.56,17.54,2.53
2400,35.0,8.8,46.1,254.54,2.23,15.55,2.23
2400,30.0,7.54,44.0,259.55,1.92,13.59,1.95
2400,25.0,6.28,42.1,268.42,1.68,11.71,1.69
2400,20.0,5.03,31.2,286.84,1.42,10.01,1.44
2400,15.0,3.77,23.3,318.39,1.21,8.34,1.2
2400,10.0,2.51,18.9,383.05,0.96,6.68,0.97
2400,5.0,1.26,14.5,599.26,0.77,5.22,0.75
2200,53.5,12.31,100.0,239.02,2.94,22.3,2.94
2200,50.0,11.51,73.8,242.38,2.76,21.14,2.79
2200,45.1,10.39,60.6,243.76,2.54,19.18,2.53
2200,40.0,9.22,55.7,243.18,2.25,16.98,2.25
2200,35.0,8.07,46.7,247.1,2.0,15.11,1.99
2200,30.0,6.91,43.7,252.71,1.75,13.23,1.75
2200,25.0,5.76,40.6,264.23,1.5,11.53,1.52
2200,20.1,4.62,31.4,278.85,1.29,9.76,1.29
2200,15.0,3.45,23.4,313.19,1.14,8.19,1.08
2200,10.0,2.3,17.5,373.86,0.86,6.51,0.88
2200,5.0,1.15,14.4,594.07,0.71,5.18,0.68
2000,53.8,11.26,100.0,236.7,2.68,22.21,2.67
2000,49.9,10.46,70.9,243.98,2.54,21.27,2.55
2000,44.9,9.41,62.7,235.64,2.27,18.48,2.24
2000,40.0,8.38,56.2,239.58,1.99,16.73,2.0
2000,35.0,7.33,50.7,243.67,1.75,14.88,1.78
2000,30.0,6.28,44.6,248.35,1.56,13.0,1.56
2000,25.0,5.23,35.8,258.18,1.38,11.26,1.36
2000,20.0,4.19,30.1,274.15,1.18,9.57,1.16
2000,15.0,3.14,22.9,309.73,0.93,8.11,0.96
2000,10.0,2.1,16.5,367.3,0.66,6.41,0.78
2000,5.0,1.05,13.4,570.0,0.72,4.98,0.6
1800,48.9,9.22,100.0,237.76,2.21,20.29,2.2
1800,48.7,9.19,99.9,236.22,2.16,20.09,2.18
1800,45.0,8.48,70.5,235.43,2.01,18.48,2.0
1800,40.0,7.54,59.7,236.91,1.71,16.54,1.79
1800,35.0,6.6,53.5,240.95,1.61,14.71,1.59
1800,30.0,5.66,47.2,248.0,1.38,12.99,1.4
1800,25.0,4.71,37.0,260.59,1.23,11.37,1.22
1800,20.0,3.77,32.9,271.95,1.01,9.49,1.03
1800,15.0,2.82,24.2,300.45,0.88,7.85,0.85
1800,10.0,1.88,17.5,356.41,0.68,6.22,0.68
1800,5.0,0.94,13.8,564.67,0.51,4.92,0.51
1600,46.4,7.78,100.0,239.17,1.88,19.38,1.86
1600,45.1,7.56,81.1,238.85,1.83,18.8,1.8
1600,39.8,6.67,65.4,237.76,1.57,16.53,1.59
1600,35.0,5.87,59.5,240.07,1.39,14.67,1.4
1600,30.0,5.03,51.8,244.55,1.2,12.8,1.23
1600,25.0,4.19,39.6,253.5,1.06,11.06,1.06
1600,20.0,3.35,36.2,269.85,0.91,9.42,0.9
1600,15.0,2.51,25.9,296.65,0.75,7.76,0.74
1600,10.0,1.68,18.9,354.06,0.59,6.18,0.58
1600,5.0,0.84,14.1,526.21,0.44,4.59,0.44
1400,41.1,6.03,100.0,240.21,1.53,17.23,1.46
1400,40.3,5.91,76.2,244.67,1.42,17.2,1.44
1400,35.0,5.13,65.2,241.79,1.26,14.77,1.24
1400,30.0,4.4,54.9,245.56,1.0,12.85,1.08
1400,25.0,3.66,43.0,251.42,0.94,10.97,0.92
1400,20.0,2.94,37.4,259.25,0.78,9.06,0.78
1400,15.0,2.2,27.2,291.94,0.61,7.64,0.63
1400,10.0,1.46,20.4,345.94,0.46,6.03,0.5
1400,5.0,0.73,15.0,514.32,0.45,4.48,0.38
1200,35.9,4.52,100.0,268.86,0.95,16.86,1.22
1200,35.4,4.45,77.9,261.93,1.04,16.2,1.17
1200,30.6,3.84,63.4,257.84,1.05,13.76,0.97
1200,25.0,3.14,44.5,256.71,0.93,11.19,0.8
1200,20.0,2.51,37.0,265.68,0.63,9.27,0.67
1200,15.0,1.88,28.2,282.65,0.35,7.39,0.54
1200,10.0,1.25,22.2,336.82,0.38,5.87,0.42
1200,5.0,0.62,15.9,496.68,0.34,4.3,0.31
